empresa,cnpj,obrigação / tarefa,departamento,responsável prazo,responsável entrega,competência,vencimento,data entrega,status,protocolo
Beta Serviços,00.000.000/0001-00,EFD-Reinf,Fiscal,Ana,Ana,2025-07-01,2025-07-16,2025-07-15,Concluída,P-1018
Beta Serviços,00.000.000/0001-00,ECF,Contábil,Carla,Carla,2025-07-01,2025-07-24,,Pendente,P-1019
Beta Serviços,00.000.000/0001-00,ISS,Fiscal,Ana,Ana,2025-07-01,2025-07-12,2025-07-16,Concluída,P-1020
Gama Contábil,00.000.000/0001-00,ECF,Fiscal,Ana,Ana,2025-07-01,2025-07-18,2025-07-23,Concluída,P-1021
Beta Serviços,00.000.000/0001-00,ISS,Contábil,Ana,Ana,2025-07-01,2025-07-19,2025-07-17,Concluída,P-1022
Gama Contábil,00.000.000/0001-00,Folha,Fiscal,Carla,Carla,2025-07-01,2025-07-14,2025-07-17,Concluída,P-1023
Beta Serviços,00.000.000/0001-00,DCTFWeb,Pessoal,Ana,Ana,2025-07-01,2025-07-22,2025-07-25,Concluída,P-1024
Gama Contábil,00.000.000/0001-00,Folha,Fiscal,Bruno,Bruno,2025-07-01,2025-07-15,2025-07-21,Concluída,P-1025
Beta Serviços,00.000.000/0001-00,ISS,Fiscal,Bruno,Bruno,2025-07-01,2025-07-24,2025-07-29,Concluída,P-1026
Beta Serviços,00.000.000/0001-00,ISS,Fiscal,Carla,Carla,2025-07-01,2025-07-21,2025-07-27,Concluída,P-1027
Gama Contábil,00.000.000/0001-00,DCTFWeb,Fiscal,Bruno,Bruno,2025-07-01,2025-07-14,2025-07-12,Concluída,P-1028
Alpha Ltda,00.000.000/0001-00,ISS,Fiscal,Bruno,Bruno,2025-07-01,2025-07-16,2025-07-18,Concluída,P-1029
Alpha Ltda,00.000.000/0001-00,Folha,Fiscal,Carla,Carla,2025-07-01,2025-07-21,,Pendente,P-1030
Gama Contábil,00.000.000/0001-00,ECF,Pessoal,Bruno,Bruno,2025-07-01,2025-07-14,2025-07-15,Concluída,P-1031
Beta Serviços,00.000.000/0001-00,EFD-Reinf,Pessoal,Ana,Ana,2025-07-01,2025-07-16,2025-07-20,Concluída,P-1032
Beta Serviços,00.000.000/0001-00,ISS,Contábil,Bruno,Bruno,2025-07-01,2025-07-16,2025-07-15,Concluída,P-1033
Gama Contábil,00.000.000/0001-00,ISS,Pessoal,Ana,Ana,2025-07-01,2025-07-16,2025-07-18,Concluída,P-1034
Gama Contábil,00.000.000/0001-00,DCTFWeb,Contábil,Carla,Carla,2025-07-01,2025-07-26,2025-07-28,Concluída,P-1035
Alpha Ltda,00.000.000/0001-00,Folha,Fiscal,Bruno,Bruno,2025-07-01,2025-07-26,,Pendente,P-1036
Gama Contábil,00.000.000/0001-00,DCTFWeb,Pessoal,Bruno,Bruno,2025-07-01,2025-07-15,2025-07-17,Concluída,P-1037
Gama Contábil,00.000.000/0001-00,Folha,Pessoal,Bruno,Bruno,2025-07-01,2025-07-17,,Pendente,P-1038
Beta Serviços,00.000.000/0001-00,ISS,Fiscal,Carla,Carla,2025-07-01,2025-07-10,2025-07-15,Concluída,P-1039
Gama Contábil,00.000.000/0001-00,Folha,Pessoal,Carla,Carla,2025-07-01,2025-07-10,2025-07-11,Concluída,P-1040
Alpha Ltda,00.000.000/0001-00,ISS,Fiscal,Bruno,Bruno,2025-07-01,2025-07-05,2025-07-08,Concluída,P-1041
Gama Contábil,00.000.000/0001-00,ECF,Fiscal,Ana,Ana,2025-07-01,2025-07-12,2025-07-15,Concluída,P-1042
Gama Contábil,00.000.000/0001-00,Folha,Pessoal,Bruno,Bruno,2025-07-01,2025-07-08,2025-07-07,Concluída,P-1043
Alpha Ltda,00.000.000/0001-00,Folha,Fiscal,Carla,Carla,2025-07-01,2025-07-22,2025-07-20,Concluída,P-1044
Alpha Ltda,00.000.000/0001-00,ISS,Contábil,Ana,Ana,2025-07-01,2025-07-22,2025-07-20,Concluída,P-1045
Gama Contábil,00.000.000/0001-00,DCTFWeb,Contábil,Bruno,Bruno,2025-07-01,2025-07-14,2025-07-14,Concluída,P-1046
Alpha Ltda,00.000.000/0001-00,Folha,Pessoal,Ana,Ana,2025-07-01,2025-07-25,2025-07-23,Concluída,P-1047
Gama Contábil,00.000.000/0001-00,Folha,Fiscal,Carla,Carla,2025-07-01,2025-07-18,2025-07-19,Concluída,P-1048
Beta Serviços,00.000.000/0001-00,ISS,Fiscal,Bruno,Bruno,2025-07-01,2025-07-18,2025-07-20,Concluída,P-1049
